0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001BC4AFB29B0>,jamestown,sh,-33.21,79.24,71,8,4.23,1518832767
<citipy.citipy.City object at 0x000001BC4B07C128>,tounan,tw,,,,,,
<citipy.citipy.City object at 0x000001BC4A5D7E48>,gat,ly,14.69,72.45,55,76,12.06,1518832768
<citipy.citipy.City object at 0x000001BC4A64FD30>,cabo san lucas,mx,22.89,78.19,64,40,4.7,1518828420
<citipy.citipy.City object at 0x000001BC4A18C978>,dhone,in,15.4,75.06,44,0,4.52,1518832768
<citipy.citipy.City object at 0x000001BC4A683E48>,guerrero negro,mx,27.97,63,97,48,3.4,1518832768
<citipy.citipy.City object at 0x000001BC4A0FF470>,dingle,ie,11,83.47,77,0,10.11,1518832768
<citipy.citipy.City object at 0x000001BC499C3F60>,francistown,bw,-21.17,63.76,100,76,3.56,1518832769
<citipy.citipy.City object at 0x000001BC4B165908>,lompoc,us,34.64,60.87,44,1,10.29,1518831300
<citipy.citipy.City object at 0x000001BC4B535DD8>,saldanha,za,41.42,44.14,98,92,3.11,1518832769
<citipy.citipy.City object at 0x000001BC4B5028D0>,el limon,ve,10.3,75.2,78,20,2.62,1518829200
<citipy.citipy.City object at 0x000001BC49D56128>,santa lucia,ec,39.93,51.8,87,75,5.82,1518828900
<citipy.citipy.City object at 0x000001BC4AF547F0>,verkhnyaya inta,ru,65.99,15.39,70,88,7.76,1518832771
<citipy.citipy.City object at 0x000001BC4A5DA358>,misratah,ly,32.38,49.54,100,48,0.6,1518832771
<citipy.citipy.City object at 0x000001BC49A413C8>,yellowknife,ca,62.45,1.4,77,90,11.41,1518829200
<citipy.citipy.City object at 0x000001BC4A7CB588>,raudeberg,no,61.99,37.4,86,88,10.29,1518830400
<citipy.citipy.City object at 0x000001BC4AE5B978>,nikolskoye,ru,59.7,21.2,92,75,4.47,1518829200
<citipy.citipy.City object at 0x000001BC49F00668>,upernavik,gl,72.79,-4.87,100,44,2.51,1518832772
<citipy.citipy.City object at 0x000001BC4A580C88>,tabiauea,ki,,,,,,
<citipy.citipy.City object at 0x000001BC49B07320>,yangjiang,cn,21.85,65.97,88,8,6.24,1518832773
<citipy.citipy.City object at 0x000001BC4B526CC0>,cape town,za,-33.93,64.4,77,0,11.41,1518829200
<citipy.citipy.City object at 0x000001BC49AAFFD0>,chenzhou,cn,25.81,59.31,80,8,3.89,1518832773
<citipy.citipy.City object at 0x000001BC4A83EB00>,sechura,pe,-5.56,75.82,79,36,10.27,1518832774
<citipy.citipy.City object at 0x000001BC4B53F390>,willowmore,za,-33.3,57.19,96,80,2.28,1518832774
<citipy.citipy.City object at 0x000001BC4B1D4898>,kahului,us,20.89,76.24,74,75,9.17,1518828960
<citipy.citipy.City object at 0x000001BC4A74BFD0>,poum,nc,41.28,15.21,73,0,2.1,1518832774
<citipy.citipy.City object at 0x000001BC499D86A0>,attawapiskat,ca,,,,,,
<citipy.citipy.City object at 0x000001BC4A629C88>,hithadhoo,mv,-0.6,80.46,100,80,3.89,1518832775
<citipy.citipy.City object at 0x000001BC49A34D68>,torbay,ca,47.66,33.8,93,90,6.93,1518829200
<citipy.citipy.City object at 0x000001BC49AA11D0>,lagdo,cm,9.06,72.67,61,0,5.53,1518832775
<citipy.citipy.City object at 0x000001BC49A2D3C8>,sioux lookout,ca,50.1,10.78,65,90,2.24,1518829200
<citipy.citipy.City object at 0x000001BC4B1D4B38>,kapaa,us,22.08,76.82,61,75,11.41,1518828960
<citipy.citipy.City object at 0x000001BC499F17F0>,flin flon,ca,54.77,4.81,66,32,9.37,1518832776
<citipy.citipy.City object at 0x000001BC4AB3A048>,kloulklubed,pw,7.04,84.85,74,90,12.75,1518832200
<citipy.citipy.City object at 0x000001BC49EFD828>,wa,gh,,,,,,
<citipy.citipy.City object at 0x000001BC4A580940>,butaritari,ki,3.07,80.86,100,88,11.95,1518832777
<citipy.citipy.City object at 0x000001BC4AB557B8>,saint-pierre,re,48.95,38.39,95,0,11.41,1518831000
<citipy.citipy.City object at 0x000001BC4992E240>,maceio,br,-9.67,77,88,75,4.7,1518832800
<citipy.citipy.City object at 0x000001BC4A749AC8>,rehoboth,na,-23.31,50.08,58,0,3.85,1518832778
<citipy.citipy.City object at 0x000001BC4AD3B358>,batagay-alyta,ru,67.8,-15.13,83,32,4.23,1518832779
<citipy.citipy.City object at 0x000001BC4A1DBCF8>,kankon,in,15.02,82.48,95,0,10.38,1518832779
<citipy.citipy.City object at 0x000001BC4A4BB4A8>,coos bay,us,43.37,47.16,81,90,8.05,1518830100
<citipy.citipy.City object at 0x000001BC4B132A20>,bethel,us,60.79,28.4,92,40,8.05,1518828780
<citipy.citipy.City object at 0x000001BC4AF9DC50>,kutum,sd,14.2,60.66,55,0,9.6,1518832780
<citipy.citipy.City object at 0x000001BC4ADE1390>,kodinsk,ru,58.6,0.54,73,64,5.57,1518832781
<citipy.citipy.City object at 0x000001BC4B1D4710>,hilo,us,19.71,69.26,88,90,3.36,1518831720
<citipy.citipy.City object at 0x000001BC4ADCE358>,khatanga,ru,71.98,-15.26,46,36,2.89,1518832781
<citipy.citipy.City object at 0x000001BC4A2F9470>,hofn,is,64.25,37.12,100,88,4.41,1518832781
<citipy.citipy.City object at 0x000001BC4AED6390>,sentyabrskiy,ru,,,,,,
<citipy.citipy.City object at 0x000001BC4B02BE48>,that phanom,th,16.94,71.64,88,40,2.24,1518829200
<citipy.citipy.City object at 0x000001BC4A58F128>,makat,kz,47.65,3.87,75,12,9.89,1518832782
<citipy.citipy.City object at 0x000001BC4998FB70>,sao joao da barra,br,-21.64,76.5,100,24,6.42,1518832782
<citipy.citipy.City object at 0x000001BC4AD42C18>,belushya guba,ru,,,,,,
<citipy.citipy.City object at 0x000001BC49D820F0>,arrecife,es,,,,,,
<citipy.citipy.City object at 0x000001BC497B8400>,carnarvon,au,-30.97,49.81,86,0,3.4,1518832783
<citipy.citipy.City object at 0x000001BC49784D30>,comodoro rivadavia,ar,-45.87,80.6,51,0,5.82,1518829200
<citipy.citipy.City object at 0x000001BC49EFDF60>,nanortalik,gl,60.14,22.05,100,68,25.7,1518832784
<citipy.citipy.City object at 0x000001BC49A8B0F0>,avarua,ck,-21.21,87.8,70,40,10.29,1518829200
<citipy.citipy.City object at 0x000001BC499177B8>,itupiranga,br,-5.13,77,100,0,3,1518829200
<citipy.citipy.City object at 0x000001BC4A5FF710>,dire,ml,9.18,57.2,58,20,6.93,1518829200
<citipy.citipy.City object at 0x000001BC4B019F28>,mae hong son,th,19.3,57.2,87,20,2.21,1518829200
<citipy.citipy.City object at 0x000001BC4B1381D0>,palmer,us,-34.85,71.6,60,75,10.29,1518831000
<citipy.citipy.City object at 0x000001BC4AFB2908>,georgetown,sh,6.8,73.4,100,90,2.24,1518829200
<citipy.citipy.City object at 0x000001BC49A922B0>,lebu,cl,8.96,57.2,58,20,6.93,1518829200
